split,image,object_id,x1,y1,x2,y2
train,train_000.png,0,37,272,67,290
train,train_000.png,1,217,299,253,313
train,train_000.png,2,259,218,315,236
train,train_000.png,3,26,41,74,57
train,train_001.png,0,25,173,75,189
train,train_001.png,1,154,120,196,132
train,train_001.png,2,249,95,303,113
train,train_001.png,3,49,350,85,364
train,train_001.png,4,108,334,152,352
train,train_001.png,5,313,206,351,224
train,train_002.png,0,68,113,100,131
train,train_002.png,1,48,338,86,358
train,train_002.png,2,327,87,355,107
train,train_002.png,3,191,87,243,101
train,train_002.png,4,304,232,346,246
train,train_002.png,5,189,205,227,223
train,train_002.png,6,107,99,161,111
train,train_002.png,7,138,48,174,64
train,train_003.png,0,235,351,281,365
train,train_003.png,1,215,281,245,297
train,train_003.png,2,183,303,235,319
train,train_003.png,3,197,297,253,313
train,train_004.png,0,83,293,127,303
train,train_004.png,1,65,120,101,130
train,train_004.png,2,33,363,61,379
train,train_004.png,3,206,226,236,240
train,train_004.png,4,127,254,179,266
train,train_004.png,5,351,333,407,351
train,train_004.png,6,157,256,203,274
train,train_005.png,0,321,365,373,375
train,train_005.png,1,127,317,159,333
train,train_005.png,2,89,68,121,86
train,train_005.png,3,142,231,180,247
train,train_005.png,4,34,144,62,162
train,train_005.png,5,276,130,312,146
train,train_005.png,6,24,172,72,188
train,train_006.png,0,165,82,207,100
train,train_006.png,1,155,157,207,173
train,train_006.png,2,245,328,287,340
train,train_006.png,3,72,329,110,339
train,train_006.png,4,272,381,324,395
train,train_006.png,5,181,340,223,360
train,train_006.png,6,327,107,377,127
train,train_006.png,7,226,113,278,123
train,train_007.png,0,229,69,279,89
train,train_007.png,1,165,38,203,50
train,train_007.png,2,20,296,70,316
train,train_007.png,3,87,175,129,187
train,train_007.png,4,216,187,264,199
train,train_007.png,5,133,316,181,328
train,train_007.png,6,267,293,295,305
train,train_007.png,7,300,218,328,228
train,train_008.png,0,145,326,175,336
train,train_008.png,1,342,48,374,66
train,train_008.png,2,155,41,191,57
train,train_008.png,3,117,355,171,373
train,train_008.png,4,28,94,74,104
train,train_008.png,5,97,257,137,273
train,train_008.png,6,124,279,160,299
train,train_008.png,7,134,238,170,254
train,train_008.png,8,281,164,333,180
train,train_009.png,0,316,320,356,330
train,train_009.png,1,250,154,286,168
train,train_009.png,2,57,127,101,137
train,train_009.png,3,163,278,207,296
train,train_009.png,4,134,75,178,89
train,train_009.png,5,80,67,130,77
train,train_010.png,0,65,252,115,266
train,train_010.png,1,98,275,130,285
train,train_010.png,2,36,340,64,360
train,train_010.png,3,71,167,123,177
train,train_010.png,4,311,110,339,126
train,train_011.png,0,101,320,133,336
train,train_011.png,1,317,299,367,315
train,train_011.png,2,286,68,320,88
train,train_011.png,3,276,150,318,164
train,train_012.png,0,280,249,312,267
train,train_012.png,1,312,146,348,156
train,train_012.png,2,254,142,294,152
train,train_012.png,3,170,202,208,212
train,train_013.png,0,342,228,374,244
train,train_013.png,1,198,114,254,130
train,train_013.png,2,42,27,86,45
train,train_013.png,3,283,155,333,165
train,train_013.png,4,27,99,59,119
train,train_013.png,5,94,190,146,208
train,train_013.png,6,75,113,103,129
train,train_014.png,0,215,365,261,381
train,train_014.png,1,145,309,175,327
train,train_014.png,2,290,361,330,381
train,train_014.png,3,74,45,106,59
train,train_014.png,4,230,113,280,127
train,train_015.png,0,174,191,218,207
train,train_015.png,1,191,372,233,384
train,train_015.png,2,320,281,366,299
train,train_015.png,3,117,320,157,338
train,train_015.png,4,140,146,192,162
train,train_016.png,0,330,53,360,67
train,train_016.png,1,173,63,227,77
train,train_016.png,2,89,284,133,302
train,train_016.png,3,212,260,256,278
train,train_016.png,4,251,323,303,335
train,train_016.png,5,84,64,124,84
train,train_016.png,6,354,75,402,87
train,train_016.png,7,236,336,276,346
train,train_017.png,0,183,337,213,351
train,train_017.png,1,30,49,68,63
train,train_017.png,2,93,367,143,385
train,train_017.png,3,293,91,349,101
train,train_018.png,0,145,246,199,258
train,train_018.png,1,167,382,205,392
train,train_018.png,2,31,324,73,338
train,train_018.png,3,315,298,343,318
train,train_018.png,4,339,102,367,116
train,train_018.png,5,211,247,239,257
train,train_018.png,6,238,138,282,150
train,train_018.png,7,116,124,164,142
train,train_019.png,0,214,314,266,326
train,train_019.png,1,23,254,63,272
train,train_019.png,2,90,172,140,184
train,train_019.png,3,18,327,70,341
train,train_019.png,4,279,172,311,186
train,train_019.png,5,107,379,145,399
train,train_020.png,0,305,295,341,313
train,train_020.png,1,198,204,226,220
train,train_020.png,2,134,302,180,320
train,train_020.png,3,156,20,198,30
train,train_020.png,4,304,245,360,257
train,train_020.png,5,104,125,144,135
train,train_020.png,6,117,116,147,132
train,train_020.png,7,15,362,69,374
train,train_021.png,0,125,170,157,190
train,train_021.png,1,185,383,221,395
train,train_021.png,2,83,325,115,341
train,train_021.png,3,312,106,342,126
train,train_021.png,4,259,304,315,318
train,train_021.png,5,347,266,395,276
train,train_022.png,0,198,364,254,380
train,train_022.png,1,251,106,279,116
train,train_022.png,2,200,287,248,299
train,train_022.png,3,178,353,220,373
train,train_022.png,4,229,312,261,332
train,train_022.png,5,286,94,328,112
train,train_022.png,6,297,365,351,379
train,train_022.png,7,35,343,73,353
train,train_022.png,8,223,161,255,181
train,train_023.png,0,246,82,280,94
train,train_023.png,1,18,310,72,326
train,train_023.png,2,298,196,340,212
train,train_023.png,3,20,164,52,174
train,train_023.png,4,247,140,297,150
train,train_023.png,5,279,367,333,383
train,train_023.png,6,191,329,239,345
train,train_024.png,0,106,291,154,311
train,train_024.png,1,329,84,377,102
train,train_024.png,2,247,79,281,93
train,train_024.png,3,329,65,369,79
train,train_025.png,0,210,37,256,53
train,train_025.png,1,311,45,339,57
train,train_025.png,2,298,336,342,346
train,train_025.png,3,308,346,356,358
train,train_025.png,4,24,24,72,44
train,train_025.png,5,341,267,371,285
train,train_025.png,6,48,57,104,69
train,train_025.png,7,92,291,146,305
train,train_026.png,0,70,211,112,225
train,train_026.png,1,146,63,186,83
train,train_026.png,2,280,60,332,80
train,train_026.png,3,207,158,259,168
train,train_027.png,0,178,188,210,204
train,train_027.png,1,118,173,156,191
train,train_027.png,2,69,303,113,321
train,train_027.png,3,52,189,86,199
train,train_027.png,4,27,142,83,162
train,train_027.png,5,354,136,402,154
train,train_027.png,6,162,179,202,193
train,train_027.png,7,75,282,105,300
train,train_028.png,0,167,321,201,341
train,train_028.png,1,213,174,253,190
train,train_028.png,2,82,24,116,34
train,train_028.png,3,353,184,401,204
train,train_028.png,4,169,239,201,249
train,train_029.png,0,32,152,80,168
train,train_029.png,1,285,51,325,65
train,train_029.png,2,18,49,52,69
train,train_029.png,3,48,23,96,37
train,train_029.png,4,101,155,151,171
train,train_029.png,5,104,77,152,91
train,train_030.png,0,64,216,106,230
train,train_030.png,1,167,242,211,260
train,train_030.png,2,302,189,346,207
train,train_030.png,3,124,45,158,63
train,train_030.png,4,256,305,288,325
train,train_030.png,5,90,382,140,392
train,train_031.png,0,215,54,247,66
train,train_031.png,1,226,96,258,108
train,train_031.png,2,222,316,254,326
train,train_031.png,3,41,26,87,40
train,train_031.png,4,131,99,177,117
train,train_031.png,5,350,84,396,98
train,train_032.png,0,232,69,266,79
train,train_032.png,1,178,250,214,264
train,train_032.png,2,240,60,276,70
train,train_032.png,3,168,56,208,70
train,train_033.png,0,252,75,300,93
train,train_033.png,1,53,339,83,353
train,train_033.png,2,284,201,326,221
train,train_033.png,3,282,369,322,379
train,train_033.png,4,29,117,73,137
train,train_033.png,5,233,332,261,342
train,train_034.png,0,311,206,357,220
train,train_034.png,1,312,29,352,49
train,train_034.png,2,149,72,181,92
train,train_034.png,3,263,272,299,284
train,train_034.png,4,285,90,319,102
train,train_034.png,5,331,220,377,236
train,train_034.png,6,66,195,106,215
train,train_035.png,0,26,352,60,370
train,train_035.png,1,27,220,71,234
train,train_035.png,2,233,114,285,128
train,train_035.png,3,247,58,281,76
train,train_035.png,4,311,251,361,269
train,train_035.png,5,200,55,248,71
train,train_035.png,6,49,162,79,182
train,train_035.png,7,187,73,239,89
train,train_035.png,8,302,210,344,222
train,train_036.png,0,38,207,78,219
train,train_036.png,1,182,329,210,343
train,train_036.png,2,39,95,79,109
train,train_036.png,3,31,37,59,51
train,train_036.png,4,332,176,366,196
train,train_037.png,0,95,335,135,345
train,train_037.png,1,277,56,325,68
train,train_037.png,2,85,116,117,136
train,train_037.png,3,86,234,114,250
train,train_037.png,4,315,188,371,198
train,train_037.png,5,337,257,367,277
train,train_037.png,6,343,232,379,248
train,train_037.png,7,324,39,364,55
train,train_038.png,0,253,296,299,312
train,train_038.png,1,352,293,406,313
train,train_038.png,2,139,130,193,140
train,train_038.png,3,345,360,373,374
train,train_038.png,4,211,197,263,207
train,train_038.png,5,86,374,132,384
train,train_038.png,6,40,287,82,301
