species,age_weeks,mean_water_temp_C,daily_feed_ration_g,length_cm,weight_g
Siberian sturgeon,46,14.63634967764984,25.02676130814564,30.99764205160056,1066.7897624342554
Rainbow trout,56,18.018470590292804,26.32745800561529,32.60764864082303,1336.1602255754788
Rainbow trout,8,17.68414135243944,1.8524569383506013,14.923512070013611,158.84315543678048
Rainbow trout,60,16.353647585156804,34.3443929991398,33.273119756693504,1432.1041638091258
Siberian sturgeon,42,17.600537110929768,23.831136966953935,31.146467771698795,944.8421074930523
Siberian sturgeon,28,14.61342343623755,15.831601654614323,24.481111150738265,500.2349678492737
Rainbow trout,53,22.88085567810822,21.286102280656777,30.84068868718149,1197.9220294140437
Siberian sturgeon,17,15.867943682657883,5.669611112935828,18.21024447988943,260.17765591235997
Siberian sturgeon,44,16.354907157764753,19.65465724030296,31.274191223343998,1020.6763371209788
Siberian sturgeon,60,15.15616480509331,37.72712136310777,37.46406125903583,1636.7584564587553
Siberian sturgeon,53,17.406276037980792,32.00406520328306,32.58745894468056,1316.2707583634233
Rainbow trout,49,16.440705965518408,19.99292323752946,31.22187820432903,1122.1385178523976
Siberian sturgeon,20,15.404401938765112,9.675522856068586,22.624130106077878,368.601785630924
Rainbow trout,11,12.78880091209863,4.9794716223331825,16.402742464820445,170.18407301964837
Siberian sturgeon,76,18.219196398425456,53.363137207691565,38.72265870172064,2143.6156635327893
Rainbow trout,14,18.082785434412557,10.17288670074155,21.22807001208646,336.57813016557304
Rainbow trout,22,22.102598639894296,9.76123598132029,22.57420581380783,397.01677849109103
Rainbow trout,42,18.764652408161318,9.800692937023081,30.199624481403,895.9042949343175
Siberian sturgeon,30,17.43985243024587,10.13425417452609,25.416596724693328,608.988901808851
Siberian sturgeon,30,16.527255403569633,15.609997660499582,26.604605495436914,588.7934383068651
Siberian sturgeon,22,18.309230719414852,11.981234820473775,20.66452459131506,318.91302277215465
Rainbow trout,49,16.92441607390012,24.867650665721662,32.22846337868068,1117.2328230372207
