item,construct,prompt_placeholder,min_score,max_score
1,Data literacy,Item 1: applied concept question,0,4
2,Regression,Item 2: applied concept question,0,4
3,Classification,Item 3: applied concept question,0,4
4,Time series,Item 4: applied concept question,0,4
5,Computer vision,Item 5: applied concept question,0,4
6,Data literacy,Item 6: applied concept question,0,4
7,Regression,Item 7: applied concept question,0,4
8,Classification,Item 8: applied concept question,0,4
9,Time series,Item 9: applied concept question,0,4
10,Computer vision,Item 10: applied concept question,0,4
11,Data literacy,Item 11: applied concept question,0,4
12,Regression,Item 12: applied concept question,0,4
13,Classification,Item 13: applied concept question,0,4
14,Time series,Item 14: applied concept question,0,4
15,Computer vision,Item 15: applied concept question,0,4
16,Data literacy,Item 16: applied concept question,0,4
17,Regression,Item 17: applied concept question,0,4
18,Classification,Item 18: applied concept question,0,4
19,Time series,Item 19: applied concept question,0,4
20,Computer vision,Item 20: applied concept question,0,4
